################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6174484410985151E+01 a       446     0    23     1     6
  1.0510708126103378E+02 a       447     0    23     1     7
 -1.9151247641425442E+01 a       448     0    23     1     8
  1.3941300855774875E+01 a       449     0    23     1     9
  1.9932019477491121E+01 a       450     0    23     1    10
 -8.9460020175912636E+00 a       451     0    23     1    11
 -1.7475535114772029E+02 a       452     0    23     1    12
  6.9147576193276772E-01 a       453     0    23     1    13
 -1.2394917020770040E+02 a       454     0    23     1    14
 -5.8470921008973583E+01 a       455     0    23     1    15
  1.2457838316006807E+01 a       456     0    23     1    16
 -6.0595856675003411E+01 a       457     0    23     1    17
  1.5049566525780872E+02 a       458     0    23     1    18
  4.1928524156395724E+01 a       459     0    23     1    19
  4.7917948996532523E+01 a       460     0    23     1    20
 -5.3418454830085800E+01 a       461     0    24     1     1
 -2.8865659532784548E+01 a       462     0    24     1     2
 -2.0836557572691618E+01 a       463     0    24     1     3
 -1.3169414900784197E+01 a       464     0    24     1     4
 -2.2920888126739364E+01 a       465     0    24     1     5
 -5.0716942714480041E+01 a       466     0    24     1     6
 -5.1488231636305251E+01 a       467     0    24     1     7
 -3.6619905420976302E+01 a       468     0    24     1     8
  2.8698999286368672E+01 a       469     0    24     1     9
  3.2367798452727889E+01 a       470     0    24     1    10
  1.5397732097009799E+01 a       471     0    24     1    11
 -1.9525122663758800E+01 a       472     0    24     1    12
 -2.7209120754227833E+01 a       473     0    24     1    13
 -1.5389712697375510E+01 a       474     0    24     1    14
 -5.6209512680111047E+00 a       475     0    24     1    15
 -1.2700108794367448E+01 a       476     0    24     1    16
 -1.0340389258033712E+01 a       477     0    24     1    17
 -1.8793824901813263E+01 a       478     0    24     1    18
 -5.2618175725930186E+01 a       479     0    24     1    19
  1.1895172886951727E+01 a       480     0    24     1    20
 -5.3590448148286875E+01 a       481     0    25     1     1
 -1.8515236300577747E+01 a       482     0    25     1     2
 -7.7734143922384447E+01 a       483     0    25     1     3
 -2.4242353128932233E+01 a       484     0    25     1     4
  9.0273080210172818E+00 a       485     0    25     1     5
 -4.7493529051232038E+01 a       486     0    25     1     6
 -4.2124203940663783E+01 a       487     0    25     1     7
 -4.8626138631067199E+01 a       488     0    25     1     8
  6.0374633335819894E+01 a       489     0    25     1     9
  5.9731679695807905E+01 a       490     0    25     1    10
 -3.6597808683316515E+00 a       491     0    25     1    11
 -3.7495411589784652E+01 a       492     0    25     1    12
